,Unnamed: 0,Cumulative_YoutubeSess_LTE_DL_Time,Cumulative_YoutubeSess_LTE_DL_Volume,Cumulative_YoutubeSess_UMTS_DL_Time,Cumulative_YoutubeSess_UMTS_DL_Volume,Max_RSRQ,Max_SNR,User_Satisfaction,Cumulative_Full_Service_Time_UMTS,Cumulative_Lim_Service_Time_UMTS,Cumulative_No_Service_Time_UMTS,Cumulative_Full_Service_Time_LTE,Cumulative_Lim_Service_Time_LTE,Cumulative_No_Service_Time_LTE
15905,15908,242.02599999999998,94481.0,8.293000000000001,110.0,-7.0,24.4,1.0,84197,2996,2097,169643,4569,3262
21148,21151,4.904999999999999,72.0,0.0,0.0,-7.0,23.0,0.0,68538,5779,1513,166312,2263,2947
14060,14062,5971.27,1408832.0,628.6020000000002,32023.0,-3.0,-19.8,1.0,56334,5245,1726,173101,1061,5014
18671,18674,239.767,174547.0,24.741999999999997,1755.0,-7.0,26.8,0.0,77491,907,751,136184,1177,9986
2807,2807,462.007,506589.0,19.691,2109.0,-6.0,27.4,1.0,46799,4050,3698,111444,4438,7081
16640,16643,16.157,3112.0,0.0,0.0,-7.0,24.0,1.0,62824,4929,512,185513,1075,14462
22252,22255,1329.338,431974.0,11609.799999999996,1882974.0,-3.0,25.6,0.0,56560,733,990,130552,5940,8194
10351,10353,541.0269999999998,511372.0,214.558,63930.0,-6.0,29.6,0.0,124942,6933,4324,172071,2507,2627
5422,5423,138.893,38786.0,0.0,0.0,-5.0,18.0,1.0,102050,1487,1870,198224,2490,5484
16887,16890,48.00300000000001,10166.0,0.0,0.0,-6.0,24.4,0.0,81171,4246,974,135836,793,6431
2785,2785,52.58600000000001,96448.0,0.0,0.0,-4.0,-19.8,1.0,127533,3758,1781,176349,1890,1330
150,150,5.627000000000002,1197.0,0.0,0.0,-4.0,-19.8,0.0,86311,5999,121,223625,639,8262
10064,10066,22.124,625.0,0.0,0.0,-3.0,-19.8,0.0,64608,5478,1702,242321,3603,4062
1907,1907,3.261,31.0,2.654,295.0,-7.0,29.0,0.0,93573,3750,4857,180497,2525,1381
16706,16709,158.696,69090.0,104.055,5225.0,-5.0,-19.9,1.0,28064,4967,2224,154029,1433,2993
14773,14775,12.45,138.0,0.0,0.0,-8.0,17.7,0.0,100171,3552,2591,150766,4405,3677
16737,16740,369.52900000000005,130250.0,0.0,0.0,-7.0,24.6,1.0,46508,3314,4523,131106,2305,4404
16471,16474,24.114,6712.0,4.38,40.0,-6.0,28.4,0.0,73697,2921,33,18114,539,2263
15638,15641,0.0,0.0,46.7,10799.0,-4.0,2.6,1.0,69413,2316,527,102865,2212,1214
2935,2935,159.019,55022.0,2.315,16.0,-4.0,-19.8,0.0,140632,2449,242,289870,4385,407
10159,10161,37.735,17434.0,0.0,0.0,-3.0,21.8,0.0,91394,8903,254,165621,1365,7837
12550,12552,660.8760000000002,615026.0,50.858999999999995,19388.0,-6.0,28.0,0.0,82535,1560,2402,132736,1370,2593
16223,16226,6.435,6941.0,0.0,0.0,-4.0,-19.8,0.0,102998,766,3447,156434,3798,3912
13953,13955,234.21700000000004,103909.0,0.0,0.0,-9.0,11.0,0.0,53838,4243,935,136831,3954,6524
21096,21099,503.98400000000004,235894.0,57.484,3243.0,-6.0,22.2,1.0,58892,4303,2056,189919,2383,8453
7254,7255,158.075,101319.0,0.0,0.0,-5.0,28.2,0.0,84006,5987,840,280288,1319,1229
13294,13296,929.1489999999999,643335.0,952.857,170829.0,-3.0,-19.8,1.0,47120,2672,1750,180099,5909,178
14918,14920,469.55300000000005,376488.0,202.25700000000003,83596.0,-4.0,29.4,0.0,90197,3085,1315,160065,4941,2755
22887,22890,0.0,0.0,2.715,40.0,-3.0,-19.9,0.0,108148,702,1566,167255,5954,3537
607,607,300.112,74455.0,306.94,26611.0,-3.0,-19.8,1.0,95690,4090,1227,31687,2065,6280
14948,14950,35.896,6305.0,0.0,0.0,-7.0,-19.9,1.0,95631,4414,2602,9490,48,5757
6012,6013,428.508,373644.0,0.0,0.0,-3.0,29.8,1.0,67787,8386,4458,207037,1725,2292
6355,6356,200.783,265739.0,0.0,0.0,-4.0,29.0,0.0,45354,4502,3007,183116,2618,13705
20427,20430,14.758,182.0,0.0,0.0,-5.0,-19.8,1.0,45535,1290,3723,173514,3051,6147
20025,20028,14.690999999999999,210.0,0.0,0.0,-6.0,25.6,0.0,63649,3759,856,217100,904,9912
5312,5313,2.088,24.0,0.0,0.0,-9.0,14.6,0.0,70613,4095,1989,178214,2801,1894
5381,5382,7.9,127.0,0.0,0.0,-7.0,25.0,0.0,135872,2812,663,234892,5188,4148
10598,10600,6705.482,3464616.0,57.744,9317.0,-5.0,-19.9,0.0,64209,2146,1683,106127,1562,3280
22007,22010,39.198,72275.0,11.084,1525.0,-7.0,24.2,0.0,46068,2936,2073,137345,4657,6094
10486,10488,2.402,17.0,0.0,0.0,-6.0,27.2,0.0,76058,4121,655,230018,3327,4469
6220,6221,662.313,438670.0,0.0,0.0,-6.0,19.2,0.0,119901,3158,1357,192016,954,1492
5710,5711,154.803,147209.0,2.94,137.0,-6.0,29.2,1.0,93190,7061,1001,86525,2759,8086
18391,18394,23.749,8759.0,12.782,1717.0,-6.0,29.4,0.0,78730,222,3248,123130,3094,1999
4853,4854,12.781,1042.0,0.0,0.0,-7.0,28.2,1.0,9555,5411,2957,97299,4365,4578
